                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4003,                 2.8258,                 1.3433,                 0.1709,                0.60592,                 0.1849,                0.12467,                 1.1419,                 2.9516,                 1.0861,             0.00028886,             0.00028886,             0.00028886
                      2,                 1.0957,                 1.9903,                 1.1305,                0.31551,                0.49828,                0.30227,                0.21102,                 1.1484,                 3.3794,                  1.125,               0.000583,               0.000583,               0.000583
                      3,                 1.1223,                  1.732,                 1.1689,                0.33658,                0.44927,                0.32349,                0.22409,                 1.1512,                 2.4348,                  1.347,              0.0008712,              0.0008712,              0.0008712
                      4,                 1.2002,                 1.6535,                 1.2267,                0.33545,                0.42227,                0.31125,                 0.2095,                   1.22,                 2.3914,                 1.4271,               0.001078,               0.001078,               0.001078
                      5,                  1.169,                 1.5876,                 1.2232,                0.22198,                0.51835,                0.31389,                0.19987,                 1.1512,                 3.4594,                 1.3967,               0.001067,               0.001067,               0.001067
                      6,                 1.1165,                 1.3791,                 1.1899,                0.57303,                0.60311,                0.59956,                0.45312,                 0.9816,                 1.4126,                  1.249,               0.001056,               0.001056,               0.001056
                      7,                 1.1019,                 1.2448,                 1.1832,                 0.7719,                0.64582,                0.74278,                0.55389,                 1.0271,                 1.2624,                 1.2975,               0.001045,               0.001045,               0.001045
                      8,                 1.0658,                 1.1272,                  1.151,                0.69413,                0.73227,                  0.787,                 0.6023,                0.97152,                 1.1585,                 1.2829,               0.001034,               0.001034,               0.001034
                      9,                 1.0826,                 1.0967,                 1.1661,                0.87717,                0.70965,                 0.8068,                0.57972,                 1.0228,                 1.1021,                 1.2691,               0.001023,               0.001023,               0.001023
                     10,                 1.0693,                 1.0598,                 1.1816,                0.85324,                0.71741,                0.80938,                0.56365,                 1.1002,                 1.0438,                 1.3577,               0.001012,               0.001012,               0.001012
                     11,                 1.0628,                 1.0523,                  1.163,                0.70975,                0.68054,                0.68232,                0.51664,                 1.0013,                 1.1605,                 1.3035,               0.001001,               0.001001,               0.001001
                     12,                 1.0458,                  1.012,                 1.1612,                0.85652,                0.71855,                0.82183,                0.61705,                 1.0061,                 1.0174,                 1.3583,             0.00099001,             0.00099001,             0.00099001
                     13,                0.99307,                0.96329,                  1.133,                0.88311,                0.72217,                0.81604,                0.64488,                 0.9134,                0.97551,                 1.2528,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.0015,                0.92691,                   1.14,                0.83789,                0.74437,                0.82374,                0.64132,                0.90086,                0.96272,                 1.2297,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.0316,                0.93024,                 1.1465,                0.90324,                0.71154,                0.84805,                0.66416,                 0.9433,                0.94685,                 1.2233,             0.00095702,             0.00095702,             0.00095702
                     16,                 0.9748,                0.86931,                  1.113,                0.91007,                0.76643,                0.88288,                0.69225,                0.90954,                0.88015,                 1.2386,             0.00094602,             0.00094602,             0.00094602
                     17,                0.95085,                0.84667,                 1.1162,                0.84518,                 0.8115,                0.87313,                 0.7027,                0.86279,                0.82539,                 1.1485,             0.00093502,             0.00093502,             0.00093502
                     18,                0.97495,                0.85203,                 1.1221,                    0.9,                0.79289,                0.87674,                0.68056,                0.86694,                 0.8473,                  1.207,             0.00092402,             0.00092402,             0.00092402
                     19,                0.92347,                0.79815,                 1.0979,                0.88152,                0.76122,                0.87245,                0.70144,                0.85042,                0.79847,                 1.1572,             0.00091302,             0.00091302,             0.00091302
                     20,                0.95732,                0.81282,                 1.0969,                0.92146,                0.80471,                0.88683,                 0.6977,                0.89094,                0.84354,                 1.1799,             0.00090202,             0.00090202,             0.00090202
                     21,                 0.9124,                0.76535,                 1.0969,                0.91706,                0.78822,                0.88223,                0.69118,                0.82994,                0.78334,                 1.1607,             0.00089102,             0.00089102,             0.00089102
                     22,                0.96001,                0.80489,                 1.1055,                 0.8798,                0.80493,                0.88923,                0.71319,                0.81904,                0.76793,                 1.1529,             0.00088002,             0.00088002,             0.00088002
                     23,                0.87836,                0.72415,                 1.0732,                0.91064,                0.79911,                 0.8988,                0.72795,                0.78905,                0.76125,                 1.1339,             0.00086902,             0.00086902,             0.00086902
                     24,                0.87975,                0.72082,                 1.0727,                0.90916,                0.79685,                0.89895,                0.74078,                  0.757,                0.69859,                 1.1447,             0.00085803,             0.00085803,             0.00085803
                     25,                0.91939,                0.79027,                 1.0905,                0.92849,                0.79753,                0.90224,                0.73554,                0.75245,                0.75529,                 1.1149,             0.00084703,             0.00084703,             0.00084703
                     26,                0.87112,                0.74885,                 1.0839,                0.90738,                0.80935,                0.90374,                0.75272,                0.76334,                0.66359,                 1.1356,             0.00083603,             0.00083603,             0.00083603
                     27,                0.89959,                0.74631,                 1.0735,                0.90348,                0.83275,                0.90764,                0.74991,                0.73679,                0.66139,                 1.1252,             0.00082503,             0.00082503,             0.00082503
                     28,                0.89101,                0.73543,                  1.085,                0.90187,                 0.8344,                0.90472,                0.75693,                0.74017,                0.65653,                 1.1308,             0.00081403,             0.00081403,             0.00081403
                     29,                0.85318,                0.68956,                  1.061,                0.88151,                0.86282,                 0.9206,                0.73533,                0.76847,                0.65015,                 1.1408,             0.00080303,             0.00080303,             0.00080303
                     30,                0.86055,                0.69869,                 1.0548,                0.84719,                0.85458,                0.90876,                0.70817,                0.89406,                0.69379,                  1.168,             0.00079203,             0.00079203,             0.00079203
